time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
1.1,0,1,2,3,0,0,24,0.61252,0.333333,0.5,6,3,55,0,1
1.2,9,1,4,3,0,0,27,0.69247,0.171429,0.47191,89,35,55,15,1
1.3,9,1,4,3,0,0,30,0.6216,0,0.5,2,1,50,0,1
1.4,9,1,4,3,0,0,30,0.63873,0,0.25,4,2,73,0,0
1.5,9,1,4,3,0,0,30,0.65442,0,0,2,1,136,0,0
1.6,12,1,4,3,0,0,30,0.70814,0.2,0.4,10,5,85,3,0
1.7,18,1,4,3,0,0,30,0.74625,0.354839,0.67,100,31,152,36,0
1.8,20,1,5,3,0,0,30,0.72567,0.25,0.552941,85,36,156,33,1
1.9,20,1,5,3,0,0,30,0.77169,0.177778,0.610619,113,45,147,63,0
2,20,1,5,3,0,0,30,0.7441,0.0833333,0.333333,24,12,111,19,0
2.1,20,1,5,3,0,0,30,0.74551,0.272727,0.454545,44,22,121,17,0
2.2,23,1,5,3,0,0,30,0.76502,0.212121,0.584416,77,33,182,56,0
2.3,23,1,5,3,0,0,30,0.77021,0.384615,0.659091,88,39,140,63,0
2.4,24,1,5,3,0,0,30,0.75378,0.285714,0.590361,83,35,166,48,0
2.5,25,1,5,3,0,0,30,0.76713,0.157895,0.545455,88,38,232,68,0
2.6,25,1,5,3,0,0,30,0.74174,0.25,0.375,24,12,167,15,0
2.7,25,1,5,3,0,0,30,0.76138,0.192308,0.442308,52,26,183,34,0
2.8,25,1,5,3,0,0,30,0.76807,0.368421,0.69,100,38,211,59,0
2.9,25,1,5,3,0,0,30,0.76266,0.229167,0.567797,118,48,180,57,0
