time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
1.1,1,1,3,3,0,0,22,0.62537,0,0,12,6,55,0,1
1.2,8,1,3,3,0,0,26,0.66461,0.2,0.472222,36,15,70,8,1
1.3,12,1,4,3,0,0,30,0.71708,0.285714,0.535211,71,28,83,13,1
1.4,13,1,4,3,0,0,30,0.70707,0,0.166667,12,6,74,4,0
1.5,14,1,4,3,0,0,30,0.72796,0.2,0.28125,32,15,83,6,0
1.6,14,1,4,3,0,0,30,0.62513,0.333333,0.541667,24,12,75,8,0
1.7,14,1,4,3,0,0,30,0.70532,0.285714,0.538462,13,7,96,4,0
1.8,17,1,4,3,0,0,32,0.75076,0.178571,0.396552,58,28,113,28,1
1.9,17,1,4,3,0,0,32,0.71696,0.117647,0.294118,34,17,109,9,0
2,18,1,4,3,0,0,32,0.74302,0.259259,0.515152,66,27,105,26,0
2.1,18,1,4,3,0,0,32,0.64777,0,0,0,0,89,0,0
2.2,18,1,4,3,0,0,32,0.73191,0.111111,0.388889,18,9,85,8,0
2.3,18,1,4,3,0,0,32,0.74389,0.264706,0.604651,86,34,118,30,0
2.4,18,1,4,3,0,0,32,0.50627,0,0,0,0,136,0,0
2.5,18,1,4,3,0,0,32,0.6581,0,0,6,3,84,0,0
2.6,20,1,4,3,0,0,32,0.60186,0.214286,0.483871,31,14,105,14,0
2.7,21,1,4,3,0,0,32,0.5623,0,0.25,4,2,148,1,0
2.8,21,1,4,3,0,0,32,0.67766,0,0,0,0,132,0,0
2.9,24,1,5,3,0,0,32,0.76211,0.357143,0.658537,123,42,255,43,1
3,25,1,5,3,0,0,32,0.78454,0.411765,0.789474,171,51,235,71,0
3.1,25,1,5,3,0,0,32,0.76719,0.464286,0.661765,68,28,211,42,0
3.2,25,1,5,3,0,0,32,0.75046,0.25,0.509091,55,24,174,28,0
3.3,25,1,5,3,0,0,32,0.78373,0.297872,0.715278,144,47,211,82,0
3.4,25,1,5,3,0,0,32,0.78268,0.304348,0.671642,134,46,263,73,0
3.5,25,1,5,3,0,0,32,0.78595,0.444444,0.754098,122,45,211,78,0
3.6,26,1,5,3,0,0,32,0.75216,0.4,0.681818,44,15,154,29,0
3.7,26,1,5,3,0,0,32,0.70882,0.391304,0.714286,56,23,186,20,0
3.8,26,1,5,3,0,0,32,0.76896,0.27907,0.631579,114,43,231,61,0
3.9,26,1,5,3,0,0,32,0.77772,0.538462,0.798387,124,39,251,61,0
4,26,1,5,3,0,0,32,0.77347,0.463415,0.711538,104,41,258,64,0
